3,23,30000,0.1,10
7,6,30040,0.1,13
4,5,500,0.1,12
3,20,3000,0.1,9
4,23,30000,0.1,9
4,54,990,0.1,9
4,35,1632,0.1,11
4,3,23300,0.1,5
1,4,34000,0.1,5
1,32,23000,0.1,1
2,31,302000,0.1,21
3,17,23000,0.1,21
1,23,32000,0.1,21
73,50,32000,0.1,14
56,80,32000,0.1,14
41,100,32000,0.1,14
73,13,35000,0.1,15
56,10,35000,0.1,15
41,5,35000,0.1,15
10,13,35000,0.1,16
12,10,35000,0.1,16
13,5,35000,0.1,16
12,10,35000,0.1,17
13,5,35000,0.1,17
12,10,35000,0.1,18
13,5,35000,0.1,18
12,10,35000,0.1,19
13,5,35000,0.1,19
14,10,35000,0.1,20
13,5,35000,0.1,20
